mjd,mag,magerr
51818.4,20.143108,0.021835523
51875.22,20.212814,0.04164891
52171.38,19.998672,0.020644147
52171.46,20.043821,0.020435508
52173.36,20.006018,0.024958117
52224.34,20.058704,0.025751576
52225.31,20.079166,0.019823413
52234.3,20.061495,0.034074068
52261.26,20.11822,0.021319294
52287.14,20.171335,0.031739403
52288.14,20.187452,0.02551401
52522.44,20.207417,0.022137532
52551.41,20.162092,0.025118062
52552.46,20.266598,0.02579623
52557.43,20.203505,0.025631439
52558.45,20.135036,0.02613312
52578.32,20.224459,0.02500167
52585.28,20.296669,0.025023518
52585.33,20.258717,0.030589681
52908.41,20.442442,0.026199156
52910.42,20.400846,0.03016648
52934.34,20.35624,0.026346833
52935.34,20.452915,0.026834508
52936.34,20.348637,0.024183512
52963.27,20.332651,0.025483182
53270.4,20.626297,0.027309839
53272.45,20.616268,0.035614382
53286.42,20.699614,0.034209665
53294.42,20.703697,0.033945866
53298.42,20.617619,0.0348214
53302.37,20.639948,0.043950982
53312.33,20.639708,0.0448122
53314.33,20.564934,0.03831812
53319.32,20.577793,0.03702978
53351.19,20.661898,0.028494745
53616.43,20.776653,0.03090202
53622.45,20.71375,0.026856542
53627.4,20.638056,0.02819307
53628.39,20.533249,0.04497761
53634.4,20.684484,0.074905455
53635.4,20.629587,0.052977566
53638.44,20.60581,0.038165126
53639.44,20.612364,0.038009267
53640.4,20.720556,0.03384331
53641.44,20.482727,0.03027506
53646.46,20.871128,0.03238499
53663.38,20.531677,0.06867319
53664.4,20.517637,0.050191678
53665.36,20.664087,0.052521
53665.46,20.457846,0.050904423
53666.45,20.58452,0.046549782
53668.37,20.54641,0.037678957
53668.45,20.653893,0.056350213
53669.36,20.519869,0.04011592
53669.46,20.632353,0.05334869
53670.46,20.649696,0.040573116
53671.44,20.582373,0.04004152
53673.35,20.59271,0.022573067
53674.34,20.530678,0.029523006
53675.34,20.463476,0.032866046
53676.43,20.541256,0.030022666
53680.35,20.596308,0.030833112
53681.4,20.692434,0.030880447
53683.41,21.864262,0.06860358
53686.35,20.697044,0.07455634
53696.36,20.631903,0.050806016
53697.35,20.57402,0.041468486
53699.37,20.624775,0.041203056
53700.35,20.599237,0.028812267
53705.34,20.70949,0.044453252
53975.42,20.615128,0.03112709
53989.43,20.63107,0.061719954
53994.45,20.696362,0.03422527
53996.43,20.482815,0.037982937
53997.46,20.721888,0.025404384
54000.41,20.672888,0.037175447
54007.46,20.75082,0.029442182
54008.39,21.67209,0.07394904
54009.38,20.69783,0.02993521
54009.46,20.746784,0.029974435
54010.38,20.753744,0.02749206
54011.45,20.756947,0.028990425
54012.38,20.738768,0.048378196
54012.46,20.72903,0.041657217
54019.44,20.719406,0.05759052
54020.41,20.669964,0.054203227
54024.46,20.780607,0.042753212
54025.45,20.44557,0.03660071
54028.45,20.812197,0.031196348
54029.46,20.788292,0.034498602
54030.41,20.752285,0.028137973
54031.36,20.7367,0.028969537
54035.45,20.83353,0.046277497
54036.37,20.728565,0.042043004
54037.36,20.753069,0.029759109
54039.37,20.728777,0.030854987
54040.37,20.801424,0.0320618
54041.34,20.790081,0.061511632
54041.41,20.725351,0.046203405
54047.4,20.731586,0.13850638
54048.39,20.937141,0.07517697
54049.4,20.761906,0.069493085
54050.36,20.735022,0.07176441
54052.36,20.8269,0.064000875
54053.38,20.835085,0.04611851
54055.38,20.805103,0.0326954
54056.36,20.85846,0.037115645
54058.36,20.78145,0.03947273
54059.36,20.803104,0.033893798
54060.38,20.811913,0.038152143
54061.37,20.837255,0.062040154
54062.36,20.83025,0.03134454
54065.36,20.745749,0.04140381
54068.34,20.78756,0.040553603
54348.44,21.03498,0.053706374
54357.4,21.030447,0.03169425
54362.45,20.956741,0.030823154
54376.45,20.882832,0.04066466
54381.45,20.939697,0.032965492
54382.43,20.946138,0.059150893
54386.44,20.903114,0.031314015
54387.45,20.893034,0.042947304
54391.45,20.994072,0.061321866
54392.45,20.726046,0.10653663
54393.45,20.96793,0.039932195
54394.43,20.935614,0.0499716
54396.32,20.83739,0.1671049
54396.45,20.917208,0.0485602
54402.44,20.810184,0.10403495
54406.36,20.854256,0.04215886
54409.36,20.82805,0.029242277
54411.32,20.915562,0.0349429
54415.37,20.901714,0.03349155
54417.36,20.869846,0.033172525
54418.36,20.941605,0.038341973
54421.36,20.84544,0.035922248
54422.36,20.897669,0.04606909
54423.34,20.853779,0.032006655
54424.3,20.814222,0.056268416
54433.36,20.923956,0.098650016
