mjd,mag,magerr
52170.39,21.578632,0.052898742
52196.39,21.40268,0.05673895
52207.36,21.51359,0.047597326
52224.29,21.530497,0.04339968
52225.25,21.496012,0.054211583
52231.27,21.506666,0.05450674
52234.24,21.522562,0.048795372
52261.21,21.496058,0.05386013
52282.13,21.550394,0.060585152
52287.09,21.302195,0.051623266
52288.09,21.465261,0.057620518
52522.39,21.501587,0.056864407
52551.36,21.322744,0.054857694
52552.4,21.405798,0.04873551
52557.38,21.381754,0.05029191
52558.39,21.520142,0.047248833
52576.22,21.421888,0.04560475
52577.28,21.36512,0.04865645
52585.23,21.481417,0.055891473
52908.35,21.719292,0.05773724
52912.33,21.751572,0.06683261
52934.29,21.8251,0.07052593
52935.29,21.749222,0.06353598
52936.28,21.94161,0.06341378
52963.21,21.75245,0.058485962
52971.2,21.821217,0.05716291
53272.4,21.5131,0.062928654
53286.36,21.445375,0.06719784
53288.32,21.645761,0.053515792
53296.32,21.408224,0.07321316
53298.37,21.576622,0.06298447
53302.32,21.388838,0.11707892
53314.27,21.527782,0.06346156
53351.14,21.555561,0.057298627
53635.35,21.396412,0.11500385
53637.34,21.483652,0.09241201
53638.38,21.574034,0.06745278
53639.39,21.602886,0.070283435
53640.35,21.758333,0.067796
53641.39,21.490742,0.052053917
53646.41,21.807365,0.05682461
53663.33,21.652657,0.14513849
53664.34,22.477417,0.38063058
53666.4,21.380396,0.09265877
53668.32,21.474773,0.07338015
53669.41,21.622475,0.11595549
53673.29,21.474657,0.048431065
53674.29,21.461266,0.06154539
53675.29,21.55059,0.057116758
53676.38,21.562916,0.057714555
53677.31,21.44539,0.048814133
53680.3,21.423565,0.04603929
53681.34,21.567469,0.047859527
53685.3,21.613777,0.11735505
53693.3,21.708912,0.19102286
53697.3,21.709396,0.08568751
53698.3,21.491035,0.052249163
53975.37,21.47333,0.045321975
53990.38,21.397015,0.15743917
53994.39,21.388708,0.05586089
53995.39,21.358347,0.049672995
53996.37,21.29791,0.060230978
54000.35,21.480341,0.066014685
54007.4,21.423283,0.0777695
54008.33,21.483496,0.0527092
54009.33,21.402119,0.044842392
54010.33,21.520067,0.044865098
54011.39,21.584187,0.045577217
54020.33,21.369701,0.10693064
54024.41,21.488724,0.098212056
54025.39,21.3294,0.065501146
54028.4,21.372913,0.05873589
54029.32,21.382723,0.05308504
54030.32,21.43748,0.044240586
54031.31,21.439909,0.04574455
54035.4,21.577824,0.08990646
54036.31,21.351456,0.059353
54037.3,21.436226,0.040503003
54039.31,21.504198,0.07561433
54048.31,21.394882,0.08265001
54055.31,21.376034,0.05292667
54056.31,21.44228,0.06197888
54058.3,21.682848,0.06279074
54059.3,21.469372,0.07363465
54060.33,21.469894,0.06819252
54062.31,21.51669,0.04812758
54063.3,21.543337,0.05154933
54068.29,21.441917,0.12552461
54346.38,21.83763,0.17356884
54348.39,21.670118,0.07969122
54357.35,21.576258,0.0439688
54362.4,21.527328,0.046138804
54365.38,21.473276,0.04809254
54376.39,21.644495,0.07918706
54381.4,21.515305,0.06955007
54382.38,21.287575,0.05614345
54384.4,21.515177,0.04952984
54385.4,21.741484,0.0546644
54386.39,21.611544,0.05881749
54391.4,21.561323,0.094030544
54392.39,21.41814,0.07098215
54393.4,21.630777,0.061514024
54394.38,21.630621,0.07954082
54404.37,21.59625,0.11749423
54405.36,21.749142,0.10359847
54406.3,21.592873,0.057973232
54411.26,21.537048,0.045462683
54413.3,21.414984,0.065666355
54415.31,21.639782,0.050730236
54417.3,21.590242,0.05211105
54418.3,21.588501,0.053523406
54422.31,21.45715,0.060141474
54423.28,21.413666,0.10082282
54424.24,21.408405,0.12826033
