mjd,mag,magerr
52196.27,20.45119,0.047142353
52197.28,20.58281,0.04234417
52225.13,20.561247,0.046735495
52231.16,20.540253,0.04223386
52253.15,20.618504,0.060924154
52522.28,20.636967,0.064915635
52552.28,20.726498,0.05245255
52557.27,20.646235,0.063262075
52558.28,20.753105,0.055171076
52577.17,20.762411,0.07408526
52578.17,20.57205,0.05026266
52586.18,20.607624,0.060035825
52908.25,20.678709,0.054032184
52910.26,20.851418,0.04606994
52911.26,20.835455,0.06515191
52929.2,20.794119,0.06824124
52930.14,20.728937,0.05050623
52931.19,20.767977,0.047429465
52935.18,20.757092,0.058629055
52936.17,20.826212,0.054743305
52959.13,20.70135,0.045602135
52963.11,20.83768,0.045382626
53272.29,20.709385,0.07432482
53286.26,20.825897,0.06474746
53288.22,20.670937,0.04256641
53294.24,20.765463,0.07135341
53302.21,20.766956,0.13211825
53312.17,20.72162,0.06407546
53314.17,20.525513,0.054170467
53623.26,20.79239,0.055337556
53626.25,20.72716,0.062405154
53628.23,20.518835,0.07113048
53636.24,20.876244,0.10227528
53638.28,20.678637,0.04709872
53654.26,20.714111,0.052420314
53663.22,20.741127,0.051803928
53664.24,20.865883,0.1002319
53666.2,20.876781,0.058778267
53669.2,20.68994,0.063016795
53670.22,20.7364,0.055500653
53671.28,20.727736,0.062059615
53673.19,20.759068,0.057524584
53676.27,20.677273,0.05430193
53677.2,20.635185,0.042265348
53679.24,20.66728,0.05928596
53680.19,20.789248,0.053922232
53681.23,20.753796,0.045614757
53693.19,20.811102,0.071305834
53697.19,21.254202,0.09423134
53700.19,20.724924,0.055112302
53704.18,20.678938,0.05321911
53705.18,20.707375,0.04999982
53975.26,20.624557,0.06361551
53989.27,20.680948,0.06692189
53993.33,20.679096,0.05181681
53997.37,20.697723,0.06633682
53998.24,20.749748,0.040901206
54000.25,20.713657,0.07295758
54005.27,20.75365,0.047222625
54007.3,20.70064,0.05353762
54008.23,20.688108,0.048267774
54009.22,20.768665,0.04957416
54010.22,20.595322,0.04623061
54011.29,20.660513,0.053708255
54012.22,20.56275,0.063294694
54019.24,20.654608,0.047751382
54020.22,20.724737,0.06801691
54022.27,20.727411,0.048483502
54025.28,20.645514,0.063112445
54028.21,20.769289,0.072428904
54029.21,20.764944,0.059321765
54030.21,20.68555,0.041361492
54031.2,20.755047,0.05337192
54035.29,20.551819,0.082515374
54036.21,20.715174,0.08727043
54037.2,20.682262,0.074871115
54039.2,20.749239,0.065533295
54040.21,20.705332,0.09285322
54049.24,20.669046,0.10008822
54052.2,20.765987,0.08495273
54053.2,20.700266,0.06577029
54056.2,20.613527,0.09351983
54058.2,20.664871,0.06504594
54059.2,20.621202,0.073945045
54063.19,20.646162,0.055618968
54348.28,20.521439,0.0619819
54357.24,20.55777,0.049839027
54362.29,20.47489,0.0435165
54376.3,20.506758,0.04935448
54379.28,20.50956,0.041186053
54381.29,20.605114,0.058302127
54382.28,20.571093,0.08299773
54386.28,20.552076,0.047567613
54393.27,20.478815,0.040089067
54403.2,20.538694,0.054334734
54406.19,20.46078,0.047330365
54407.2,21.025406,0.15885937
54412.2,20.511877,0.043854862
54415.19,20.554636,0.037337698
54416.19,20.487331,0.0465006
54418.19,20.578926,0.04756875
54419.19,20.58284,0.12936318
54421.2,20.464327,0.053607415
