mjd,mag,magerr
51875.21,19.759424,0.022866609
52170.43,19.647438,0.020835625
52171.37,19.657671,0.023508022
52173.34,19.68957,0.023529256
52224.32,19.700985,0.020912047
52225.29,19.670494,0.02535264
52234.28,19.68532,0.034390263
52261.24,19.69576,0.020644214
52287.12,19.762365,0.027900519
52288.12,19.714277,0.021028109
52522.42,19.749323,0.018756483
52551.4,19.714622,0.024122009
52552.44,19.84518,0.03305246
52557.42,19.749908,0.02318457
52558.43,19.714285,0.017012568
52578.3,19.691233,0.021498522
52585.26,19.672075,0.01778246
52908.39,19.710215,0.02228434
52934.32,19.615986,0.022658143
52935.33,19.641605,0.023015553
52936.32,19.617723,0.020063814
52963.25,19.66087,0.02024829
53270.38,19.71732,0.022622474
53272.43,19.699753,0.027095301
53286.4,19.692629,0.028365245
53288.36,19.75793,0.026838137
53294.41,19.9409,0.02221472
53298.4,19.71886,0.030727066
53302.35,19.76808,0.028168326
53312.31,19.75485,0.032985393
53314.31,19.733612,0.02399322
53351.17,19.810938,0.032379508
53622.43,19.822721,0.020616295
53628.38,19.781635,0.02928884
53634.38,19.737156,0.036138404
53635.39,19.753504,0.036004707
53638.42,19.773336,0.023310065
53639.42,19.793163,0.027003806
53640.38,19.840715,0.022317976
53641.42,19.798676,0.021595975
53646.45,20.326408,0.030670593
53655.36,19.813475,0.023661477
53663.37,19.747183,0.030099891
53663.45,19.742182,0.035820108
53664.38,19.911032,0.035207115
53665.35,19.962738,0.049876124
53665.45,19.749544,0.028340347
53666.44,19.69144,0.03109204
53668.36,19.771652,0.027327403
53668.43,19.710583,0.036055073
53669.34,19.858955,0.03600639
53669.44,19.807575,0.03119889
53671.43,19.754114,0.022003122
53673.33,19.759512,0.021006117
53674.32,19.727983,0.021451911
53675.33,19.73943,0.0219192
53676.41,19.797552,0.023150804
53677.35,19.77434,0.02125693
53679.39,19.779972,0.044751905
53680.33,19.689842,0.021629464
53681.38,19.977169,0.022005143
53683.39,19.810633,0.025356377
53686.33,19.772398,0.035489794
53697.33,19.800224,0.023780022
53699.36,19.908594,0.027181067
53700.33,19.862776,0.022771103
53704.32,19.784958,0.02406188
53705.32,19.791656,0.046013966
53975.41,19.75029,0.026452163
53989.42,19.79181,0.03321628
53994.43,19.78257,0.023452679
53995.45,19.636618,0.021045497
53996.41,19.653395,0.029887527
53997.44,19.735113,0.023641568
54000.39,19.75427,0.022351416
54007.44,19.738066,0.025940923
54008.37,19.798212,0.026522284
54009.36,19.72385,0.018285157
54009.44,19.749182,0.019616384
54010.37,19.818825,0.019043922
54011.43,19.760368,0.020908313
54012.36,19.815748,0.03087461
54012.44,19.748709,0.02243822
54020.36,19.70858,0.03678071
54020.4,19.76687,0.02716215
54024.45,19.721905,0.03182752
54025.43,19.800137,0.0255303
54028.43,19.795372,0.029888066
54029.44,19.729645,0.028333334
54030.39,19.806173,0.022770446
54031.35,19.764297,0.023458352
54035.43,19.867012,0.033192296
54036.35,19.787882,0.02806485
54037.34,19.782682,0.024713138
54039.35,19.78573,0.020718226
54040.35,19.80019,0.02561556
54041.32,19.756388,0.029972967
54041.39,19.76477,0.0309949
54047.38,19.686502,0.062088646
54048.34,19.821959,0.026483404
54048.37,19.791903,0.028563168
54049.38,19.761982,0.02874665
54052.35,19.739067,0.031743582
54053.36,19.742147,0.036460415
54055.36,19.735336,0.025283292
54056.35,19.806976,0.026517281
54058.34,19.743984,0.02422661
54059.34,19.780529,0.024096904
54060.36,19.741806,0.027186798
54061.35,19.869162,0.034063324
54062.35,19.777807,0.022120161
54065.34,19.609327,0.1124524
54068.33,19.914019,0.081980295
54357.38,19.802761,0.02115142
54362.43,19.814219,0.029902296
54376.43,19.789112,0.02622036
54381.43,19.811436,0.018949421
54382.41,19.81723,0.024963954
54384.44,19.79865,0.026781052
54385.43,19.786577,0.019792708
54386.43,19.822622,0.03138776
54387.43,19.752325,0.026972156
54391.43,19.740147,0.057823177
54392.43,19.992466,0.05845017
54393.43,19.771563,0.074807905
54394.42,19.809265,0.029376945
54396.3,19.945223,0.07922427
54396.44,19.83458,0.04990967
54402.43,19.803244,0.040111694
54411.3,19.781422,0.034399323
54413.34,19.847475,0.0389543
54417.34,19.87408,0.01986111
54418.34,19.798471,0.027209925
54422.34,19.914003,0.029663816
54424.28,19.812864,0.02658097
54433.34,19.763737,0.039697755
