mjd,mag,magerr
51818.38,22.689007,0.3469674
51875.2,22.691748,0.4034543
52170.43,22.988886,0.43901113
52171.36,23.271976,0.59226906
52173.34,23.401064,0.7261877
52224.32,22.335129,0.24199305
52234.28,23.164867,0.5965444
52261.24,22.29526,0.23393717
52287.12,23.0748,0.4207878
52288.12,22.42478,0.33112097
52522.42,22.856613,0.5127853
52551.39,22.896666,0.52611285
52557.41,23.873465,0.9196743
52558.43,23.005707,0.47723368
52578.3,22.375746,0.34458408
52585.26,22.667501,0.33234325
52908.39,23.207657,0.52483696
52912.37,22.739368,0.3868519
52934.32,22.458971,0.318455
52936.32,22.204622,0.20535165
53270.38,22.361502,0.26300052
53272.43,23.839962,0.96343887
53286.4,22.002823,0.27089906
53288.36,22.742565,0.34299183
53294.4,21.91166,0.20294864
53296.35,22.6677,0.42065746
53298.4,23.441507,0.6774542
53302.35,21.834337,0.29993296
53314.31,21.903753,0.2786197
53351.17,22.79608,0.420385
53622.43,22.702555,0.34934965
53628.38,22.466143,0.5701432
53639.42,22.587692,0.43592876
53640.38,22.39058,0.35151866
53641.42,22.03148,0.2507529
53663.36,21.925756,0.49010575
53665.44,21.774302,0.55395246
53666.43,21.562292,0.57068473
53668.35,21.89591,0.32954103
53669.34,21.47405,0.41229558
53673.33,22.505913,0.25898638
53676.41,22.89077,0.746905
53677.35,22.41891,0.2847595
53680.33,22.12487,0.24108051
53681.38,23.555365,0.9233503
53683.39,22.054789,0.25557393
53699.35,22.226145,0.32286984
53700.33,22.718956,0.5846168
53704.32,23.09754,0.6477757
53996.41,22.84878,0.9285893
53997.44,22.151505,0.22493465
54000.39,22.451714,0.30823955
54007.44,22.79461,0.38789973
54009.36,22.737057,0.2568322
54009.44,22.76884,0.45675957
54011.43,22.755535,0.32951695
54012.36,22.091307,0.47267273
54012.44,23.124176,0.6584625
54025.43,22.115355,0.4495883
54029.44,22.59147,0.44432604
54030.39,22.691532,0.39180738
54031.34,23.341377,0.54533994
54035.43,22.781477,0.8715593
54036.35,22.70127,0.4470814
54039.35,22.467846,0.35782817
54040.35,22.939098,0.7026715
54041.32,22.394161,0.74612427
54048.34,22.683525,0.86351913
54053.36,22.707426,0.5236954
54058.34,22.035318,0.3702391
54060.36,22.41752,0.6537526
54061.35,22.402517,0.785237
54062.34,22.463709,0.4836554
54346.42,21.912657,0.49942917
54348.42,22.80776,0.62990683
54355.43,22.272007,0.1975502
54362.43,22.870731,0.44899657
54365.41,22.456884,0.28189918
54381.43,22.559807,0.35069463
54382.41,22.09277,0.37311748
54384.44,22.642815,0.47286487
54385.43,22.25216,0.30593252
54386.42,22.293327,0.3501939
54387.43,22.335535,0.5623904
54392.43,22.343985,0.37986293
54393.43,22.605293,0.83401597
54394.41,22.20232,0.51711845
54396.43,22.050745,0.6002959
54405.4,21.978762,0.486591
54406.34,22.91865,0.5008479
54411.3,22.47929,0.36942294
54412.36,22.697542,0.44791687
54413.34,22.195019,0.48133263
54415.35,22.770817,0.4656208
54416.34,22.450708,0.31026626
54417.34,22.15283,0.24201092
54418.34,22.208218,0.44295746
54421.34,22.176548,0.36629915
54422.34,21.879791,0.33679748
54423.32,23.155928,0.67179954
54424.28,22.021225,0.46171448
54433.34,21.515469,0.536749
