mjd,mag,magerr
52170.39,19.667252,0.07609303
52196.39,19.421808,0.08614022
52207.36,19.535952,0.06636335
52224.29,19.619995,0.06343372
52225.25,19.74039,0.09841569
52231.27,19.812796,0.097055525
52234.24,19.717165,0.06592881
52261.2,19.699379,0.08017354
52282.13,19.73377,0.09451154
52287.09,19.657324,0.07925968
52288.08,19.76847,0.08655404
52551.36,19.88187,0.11371111
52552.4,19.900394,0.10065013
52557.38,19.971693,0.11279172
52558.39,19.841463,0.080457725
52576.22,19.831673,0.09508243
52577.28,19.834265,0.09855884
52585.23,19.95487,0.16013737
52908.35,19.927128,0.10050506
52910.36,19.882309,0.10378756
52912.33,19.721344,0.095661
52934.28,19.920527,0.12414166
52935.29,19.81449,0.12321424
52936.28,19.989895,0.11018092
52963.21,20.148314,0.12113229
52971.2,19.718174,0.08669082
53272.4,20.34569,0.1663629
53286.36,20.182423,0.11858031
53288.32,20.297668,0.13353588
53296.32,20.567394,0.27493235
53298.37,20.402779,0.18375148
53302.32,19.976267,0.11845546
53312.27,20.024649,0.18481107
53314.27,20.00309,0.12772624
53351.13,20.26305,0.17573172
53628.34,20.08,0.12931705
53635.35,20.297855,0.12508549
53637.34,20.13368,0.13083123
53638.38,20.277714,0.13375658
53639.39,20.344826,0.10929831
53640.35,20.408712,0.14259294
53641.39,20.066866,0.10330544
53646.41,20.70394,0.19354993
53664.34,20.896584,0.43015283
53665.41,20.36148,0.19010879
53666.4,20.138153,0.1204979
53668.32,19.991339,0.12288157
53669.3,20.103548,0.12384199
53669.41,20.293242,0.1796753
53671.39,20.092255,0.14981958
53673.29,20.083208,0.09456046
53674.29,20.35332,0.18239793
53675.29,20.21867,0.14537251
53676.38,20.227516,0.12856558
53677.31,20.24105,0.09964366
53680.3,20.208841,0.10515577
53681.34,20.312262,0.12419051
53693.3,19.950397,0.11529956
53697.3,20.30087,0.14062484
53698.3,20.318121,0.11990028
53975.37,20.285685,0.14165679
53989.38,20.52355,0.21012333
53990.38,20.1328,0.18035287
53994.39,20.304893,0.16080883
53995.39,20.197792,0.12485372
53996.37,19.761492,0.12745835
54000.35,20.340626,0.18505132
54006.3,20.070541,0.373713
54007.4,20.072533,0.16385742
54008.33,19.958046,0.1188158
54009.33,20.359385,0.13568008
54011.39,20.206915,0.1021123
54012.32,20.127953,0.18145551
54020.33,20.545244,0.27931193
54024.41,20.049986,0.17729728
54025.39,20.479855,0.21933469
54028.4,20.236877,0.18571284
54029.32,20.281042,0.18019702
54030.32,20.282661,0.15765461
54031.31,20.44963,0.1767074
54035.4,20.353617,0.27084753
54036.31,20.085566,0.15852618
54037.3,20.572086,0.1644197
54039.31,20.199999,0.14884302
54040.32,20.535383,0.22660749
54041.28,20.189049,0.13284796
54049.34,20.519741,0.24741451
54052.31,20.030226,0.16504233
54053.31,20.204973,0.14121613
54055.31,20.147743,0.12316944
54056.31,20.346184,0.19116594
54058.3,20.077492,0.14868417
54059.3,20.452604,0.25664046
54060.33,19.898043,0.12802857
54061.32,20.042965,0.16711624
54062.31,20.206732,0.14647871
54063.3,20.331709,0.15908946
54068.29,20.07219,0.14807509
54346.38,20.15593,0.13512409
54348.39,20.234268,0.13293046
54357.35,20.319017,0.1120464
54359.38,19.895235,0.15372786
54362.4,20.544247,0.16879554
54365.38,20.006784,0.10263681
54376.39,19.978027,0.1208671
54381.4,20.156574,0.12003495
54382.38,19.535141,0.11001083
54384.4,20.125532,0.11108574
54385.39,20.25424,0.10818265
54386.39,20.034338,0.12755288
54387.4,20.181852,0.26194313
54391.4,19.808289,0.18681899
54392.39,19.943285,0.1586078
54393.4,20.119213,0.12782595
54394.38,19.94629,0.14713466
54396.26,19.968597,0.1927349
54396.4,19.795046,0.20067096
54402.39,20.274334,0.18443651
54403.31,19.674265,0.20378508
54404.37,20.158463,0.14923154
54405.36,19.787094,0.08945015
54406.3,20.017542,0.089764416
54407.31,19.858744,0.13188675
54411.26,20.039494,0.09874031
54413.3,19.908308,0.13162996
54415.31,20.07897,0.10587084
54416.3,20.043118,0.10459561
54417.3,20.14175,0.13053243
54418.3,20.087143,0.12210084
54422.31,20.13796,0.14005938
54423.28,20.114689,0.12665078
54424.24,20.035563,0.12389353
