mjd,mag,magerr
51818.4,18.808287,0.01874606
51875.23,18.844416,0.024171935
52171.39,18.915413,0.013443121
52171.47,18.9346,0.022767069
52173.37,18.941355,0.025009766
52224.35,18.889883,0.022413518
52225.31,18.864515,0.030939436
52234.31,18.872025,0.031025093
52261.27,18.93213,0.016615175
52287.15,18.862167,0.025616067
52522.45,19.092793,0.025078436
52551.42,18.986706,0.029007427
52552.47,19.047255,0.015477448
52557.44,19.07743,0.01992063
52558.46,19.011883,0.020104934
52578.33,19.062952,0.020365827
52585.29,19.043283,0.032457016
52585.34,19.090124,0.024104921
52908.42,18.937803,0.021013975
52912.4,18.904919,0.0246894
52934.35,18.941298,0.024060799
52935.35,18.852415,0.033613466
52936.34,18.89772,0.015779957
53270.41,18.959978,0.017208204
53272.46,18.938265,0.022073306
53286.43,18.947319,0.017188326
53288.39,18.955067,0.02029961
53294.43,19.149523,0.028067064
53296.38,18.861982,0.024860537
53298.43,18.977556,0.03053998
53302.38,18.999744,0.021286178
53312.34,18.976812,0.018632576
53314.34,18.929684,0.019435627
53319.33,18.92281,0.022678724
53616.44,19.055414,0.018395513
53622.46,19.043598,0.01887679
53635.41,18.988216,0.032384824
53638.45,18.991516,0.028171169
53639.45,19.029202,0.017237583
53640.41,19.113235,0.024886107
53646.47,19.132935,0.027337095
53657.46,19.055674,0.03238071
53663.39,19.00647,0.02722639
53663.47,19.05266,0.03053037
53665.37,18.985523,0.017232863
53665.47,19.0481,0.02651866
53666.46,19.020304,0.02641077
53668.38,19.04992,0.027350364
53668.46,19.022606,0.026528576
53669.47,18.962545,0.027278865
53671.45,18.97764,0.03163448
53673.36,19.02119,0.025028279
53675.35,19.009579,0.022614578
53680.36,19.051554,0.02320421
53681.4,19.080967,0.020784188
53683.42,20.082672,0.035315383
53686.36,19.040514,0.027030593
53696.37,19.079735,0.020752229
53697.36,19.079205,0.031953815
53699.38,19.121704,0.02413105
53975.43,19.330105,0.037346598
53989.44,18.920643,0.023950463
53996.44,18.721186,0.052663837
53997.47,18.854559,0.020953907
54000.42,18.845324,0.032594915
54007.47,18.85736,0.025966423
54009.39,18.866383,0.022088297
54009.47,18.797182,0.021106662
54010.39,18.757406,0.025608275
54011.46,18.86308,0.024768105
54012.39,18.828758,0.027975969
54012.47,18.862013,0.029500771
54020.42,18.79524,0.020324428
54024.47,18.796509,0.01961834
54025.45,18.67393,0.015252504
54028.46,18.821367,0.021374956
54029.46,18.78522,0.020994177
54030.42,18.78324,0.01974093
54031.37,18.816582,0.0252184
54035.46,18.765018,0.025864622
54036.38,18.885141,0.04265199
54037.37,18.776682,0.026555296
54039.38,18.78152,0.020299623
54040.38,18.795563,0.017929338
54041.35,18.805597,0.020005288
54041.42,18.8035,0.034820944
54048.4,18.794865,0.018600646
54049.41,18.77123,0.021418046
54050.37,18.789341,0.029209793
54052.37,18.77021,0.019515272
54055.39,18.76793,0.026083685
54058.37,18.833181,0.019893058
54059.37,18.710268,0.03354729
54060.39,19.38874,0.09829815
54061.38,18.725132,0.031207602
54062.37,18.794373,0.023144696
54065.37,18.82286,0.017273735
54068.35,18.752096,0.025203098
54346.45,18.878057,0.01811111
54348.45,18.838783,0.019852325
54357.41,18.813446,0.020827437
54362.46,18.854181,0.019831102
54365.44,18.923592,0.017169725
54381.46,18.948845,0.024123963
54386.45,18.995487,0.022496883
54387.46,18.861761,0.01977332
54391.46,18.921957,0.021654965
54392.46,18.876999,0.0326836
54393.46,18.913515,0.020499159
54394.44,18.85985,0.024689293
54396.32,18.889635,0.028144993
54396.46,18.914825,0.020211045
54402.45,18.848108,0.044574704
54403.37,18.899612,0.04584948
54404.43,19.092892,0.06723973
54406.37,18.869015,0.023516187
54409.37,18.940224,0.015701363
54411.32,18.785475,0.024979906
54412.39,18.873363,0.024339342
54413.37,18.834076,0.026100527
54415.38,18.90105,0.023487732
54416.36,18.951435,0.0208675
54417.37,18.84193,0.023966828
54418.37,18.863945,0.023162875
54421.37,18.91334,0.022029415
54422.37,18.872498,0.020623844
54423.35,18.901403,0.021986894
54424.31,18.907597,0.022017837
54433.37,18.873978,0.036091484
