mjd,mag,magerr
51818.41,19.964756,0.032463063
52171.4,19.922577,0.03140584
52171.47,19.93842,0.031145802
52173.37,19.966501,0.03619107
52224.35,19.905804,0.029445121
52225.32,19.961466,0.029226944
52234.31,19.93936,0.03328249
52261.27,19.862423,0.027228855
52287.15,19.868061,0.033998318
52288.15,19.895048,0.031407654
52522.45,19.930079,0.032915387
52551.43,19.940119,0.03652807
52552.47,19.959986,0.031289216
52557.45,19.975582,0.03421336
52558.46,19.942688,0.031579453
52578.33,20.010954,0.027349103
52585.29,19.998047,0.03669391
52585.35,20.00285,0.030238952
52908.42,20.323654,0.04210479
52910.43,20.412073,0.045608066
52912.4,20.420528,0.046071254
52934.35,20.436108,0.049229875
52935.36,20.434511,0.05070298
52936.35,20.396297,0.043718
52963.28,20.45285,0.042817585
53270.41,19.901943,0.025887625
53272.46,19.906036,0.033647485
53286.43,19.804022,0.03028614
53288.39,19.845804,0.031243894
53294.44,19.875254,0.031340305
53296.38,19.890656,0.03941126
53298.43,19.867542,0.038295127
53312.34,19.858162,0.040703885
53314.34,19.841011,0.03527351
53616.45,19.804663,0.034081243
53622.46,19.871534,0.02753792
53635.42,19.787428,0.03323978
53638.45,19.847576,0.04299512
53639.45,19.844217,0.030835722
53640.41,19.883404,0.03513083
53646.48,19.959583,0.03656591
53657.46,19.839815,0.03380504
53663.4,19.824675,0.040418413
53663.48,19.808088,0.05015727
53664.41,20.510271,0.13239959
53665.38,19.78204,0.03342852
53665.48,19.76839,0.042961374
53668.39,19.766932,0.04640403
53668.46,19.777603,0.043384418
53669.37,19.835817,0.036630522
53671.46,19.830458,0.030216994
53673.36,19.847225,0.030429896
53675.36,19.764067,0.031545606
53676.44,19.915247,0.054219123
53676.48,20.994684,0.09732935
53679.42,19.821348,0.03869752
53680.36,19.821793,0.028487751
53681.41,19.929417,0.03487412
53683.42,20.54485,0.060220927
53686.36,19.719,0.03545205
53696.37,19.80032,0.033524156
53697.37,19.88201,0.0338595
53699.39,19.857769,0.030596882
53975.44,19.863256,0.042104732
53989.45,19.786657,0.036636937
53994.46,19.836416,0.03156399
53996.44,19.787603,0.035561953
53997.47,19.800993,0.02510535
54000.42,19.828901,0.035577107
54007.47,19.784372,0.031960785
54008.4,19.914913,0.07341018
54009.4,19.8649,0.026746787
54009.47,19.85678,0.028307822
54010.4,19.82691,0.027994316
54011.46,19.870302,0.031460065
54012.39,19.851618,0.047139768
54012.47,19.796885,0.03318598
54020.43,19.755243,0.038334742
54024.48,19.795738,0.040815204
54025.46,19.71358,0.035059437
54028.47,19.78382,0.035127163
54029.47,19.80908,0.03407619
54030.42,19.868393,0.038036287
54031.38,19.831362,0.028345244
54035.46,19.796404,0.037822507
54036.38,19.74778,0.043107536
54037.37,19.831432,0.027674219
54040.38,19.855759,0.032950286
54041.35,19.804953,0.03958807
54041.42,19.80213,0.03147468
54049.41,19.830078,0.04080148
54050.37,19.936504,0.06386378
54052.38,19.796751,0.041786637
54056.38,19.846155,0.037443988
54058.37,19.839119,0.040078714
54059.37,19.907236,0.045909293
54060.39,19.825312,0.04633439
54061.38,19.869549,0.040994175
54062.38,19.892641,0.03345785
54065.37,19.776012,0.034457903
54068.36,19.892063,0.050351188
54346.45,19.977451,0.041089278
54348.46,20.045887,0.04149094
54357.41,20.027117,0.03355664
54362.46,20.00587,0.031320583
54365.44,20.023129,0.030447226
54376.46,20.007675,0.03512656
54381.46,20.006968,0.034818057
54382.44,19.984703,0.03982918
54385.46,20.043951,0.042559426
54386.46,20.100283,0.034870345
54387.46,20.007532,0.042712487
54391.46,19.94643,0.06318793
54392.46,19.972103,0.035156365
54393.46,19.949898,0.049705047
54394.45,20.044962,0.08081421
54396.33,20.10368,0.079218656
54396.47,20.05202,0.058674727
54402.46,20.002026,0.06699732
54403.37,19.903658,0.1302758
54406.37,20.03334,0.028585352
54409.37,20.053343,0.034146458
54411.33,20.007448,0.041470982
54412.39,19.957579,0.051229727
54413.37,20.002851,0.053129308
54415.38,20.052849,0.03181917
54416.37,20.028702,0.03397427
54417.37,20.018288,0.033970412
54418.37,20.094582,0.044887815
54421.37,19.928154,0.0510679
54422.37,20.076414,0.04996698
54424.31,20.008514,0.036034282
