mjd,mag,magerr
52197.27,18.783485,0.024194261
52231.16,18.740454,0.017640447
52253.15,18.74287,0.018540002
52552.27,18.762947,0.031168422
52558.28,18.784555,0.019629544
52577.17,18.779196,0.014418024
52578.16,18.76763,0.018336242
52586.17,18.796818,0.016722776
52908.24,18.677818,0.022558682
52911.26,18.700039,0.026044395
52929.19,18.675686,0.019306911
52936.17,18.706772,0.018184917
53270.23,18.724997,0.021002196
53272.28,18.693651,0.016727332
53286.25,18.952265,0.014699558
53288.21,18.662762,0.015732909
53294.24,18.649763,0.021733448
53302.21,18.726542,0.023957487
53312.16,18.695814,0.026480364
53623.26,21.116451,0.047618486
53626.24,18.820929,0.013030165
53628.23,18.710455,0.017051747
53635.24,18.699955,0.015674332
53636.24,18.873344,0.019371752
53638.27,18.73937,0.016729997
53654.26,18.850094,0.016145797
53663.22,18.702423,0.01655326
53668.21,18.638287,0.027852233
53669.19,18.759596,0.023072014
53670.21,18.769587,0.021215431
53671.28,18.746284,0.023392985
53673.18,18.728264,0.016636336
53674.18,18.73323,0.017171783
53675.18,18.734474,0.026837489
53677.2,18.736258,0.017573988
53680.19,18.763227,0.026063185
53681.23,19.003551,0.014532509
53685.19,18.823029,0.035148904
53693.19,18.744246,0.021359155
53697.19,19.454819,0.023108065
53700.18,18.755661,0.021390745
53704.17,18.754694,0.017926056
53705.17,18.778725,0.025600992
53975.26,18.752193,0.022803655
53989.27,18.708118,0.018950373
53993.32,18.748215,0.016769165
53996.26,18.56995,0.016659696
53997.36,18.682928,0.016839484
53998.23,18.696634,0.014614996
54000.24,18.680609,0.019046271
54005.26,18.694717,0.02181361
54007.29,18.741144,0.020886704
54011.28,18.728262,0.021559404
54012.21,18.787575,0.018788634
54019.23,18.695961,0.014909342
54020.22,18.697151,0.019915419
54022.27,18.669765,0.01407335
54028.21,18.8019,0.027017266
54035.29,18.71087,0.015146753
54036.2,18.754606,0.03866809
54037.19,18.660978,0.02342187
54039.2,18.719034,0.017082162
54040.21,18.72874,0.022536056
54048.19,18.69339,0.014723502
54049.23,18.761917,0.023831489
54050.19,18.816595,0.018913053
54052.2,18.745432,0.019418478
54053.2,18.730692,0.018086929
54054.22,18.675726,0.014102482
54055.19,18.731068,0.02337665
54059.19,18.77659,0.026061365
54060.21,18.715088,0.01939124
54061.2,18.739151,0.014777421
54062.2,18.740368,0.018392636
54063.18,18.715933,0.013965126
54348.27,18.77228,0.021868313
54357.24,18.720041,0.023334125
54362.29,18.712795,0.018383045
54365.27,18.724354,0.02140086
54373.34,18.789356,0.0716383
54376.29,18.735962,0.01746837
54381.29,18.713696,0.025864515
54382.28,18.738281,0.020277495
54387.28,18.767881,0.015273358
54393.27,18.727882,0.018088365
54402.28,18.757872,0.022978416
54403.2,18.686726,0.025004253
54406.19,18.75371,0.01854099
54407.19,19.250795,0.01590382
54411.15,18.734772,0.02089615
54412.19,18.659134,0.011702852
54413.19,18.691738,0.024402305
54415.19,18.696203,0.021609114
54416.19,18.699503,0.019850602
54418.19,18.735126,0.018313881
54419.19,18.877146,0.013350516
54421.19,18.71272,0.016786488
54422.19,18.67887,0.018966665
54424.18,18.701883,0.023967376
54425.19,18.680359,0.035072558
54431.2,18.617722,0.04080095
