mjd,mag,magerr
52196.3,20.897161,0.055277035
52197.32,20.91893,0.063402504
52231.2,20.83756,0.0543377
52522.32,20.916573,0.06632739
52558.32,21.068449,0.07684734
52577.21,20.964098,0.06314905
52586.21,20.972078,0.073920816
52908.28,20.928024,0.06957995
52910.29,20.870361,0.049087875
52930.18,20.903442,0.071280025
52931.22,20.806913,0.058613084
52934.22,20.870848,0.07188854
52935.22,20.927397,0.058514297
52936.21,20.846151,0.0493235
52959.16,20.791126,0.042653196
52963.14,20.717232,0.0460272
53270.28,20.910542,0.061455384
53272.33,21.024498,0.07045596
53286.29,21.031134,0.06402912
53288.25,20.898954,0.056510653
53312.2,20.82381,0.08859549
53314.21,20.922674,0.06355751
53352.12,20.876665,0.05641575
53626.29,20.891478,0.06501752
53628.27,21.025984,0.10237949
53635.28,21.159374,0.08381419
53636.28,21.05881,0.11182928
53638.31,20.928785,0.051225208
53639.32,20.996424,0.059739906
53654.3,21.028828,0.06658501
53664.28,20.953724,0.08961992
53666.24,20.952927,0.06135579
53668.25,21.227451,0.14987531
53669.23,20.976723,0.05629465
53671.32,21.027983,0.098904796
53673.22,21.005909,0.06961197
53674.22,21.017925,0.071628086
53675.22,21.0066,0.077585235
53676.31,20.88857,0.0586041
53679.28,21.030117,0.08947932
53681.27,21.10821,0.065337636
53685.23,20.866493,0.14784972
53697.23,21.180746,0.0653068
53698.23,21.631155,0.13250485
53700.23,20.84143,0.07352235
53704.21,21.009295,0.076859295
53705.21,20.934053,0.06205865
53974.31,20.630123,0.043969557
53975.3,20.586235,0.05778659
53989.31,20.846672,0.0903297
53993.37,20.649145,0.042402133
53994.32,20.748955,0.051195208
53996.31,20.565203,0.05409132
53997.4,20.778578,0.06749162
53998.27,20.455042,0.33151013
54000.28,20.799265,0.08187701
54005.3,20.748257,0.04166272
54007.33,20.832031,0.060349055
54008.27,20.70029,0.053232327
54009.26,20.689072,0.0536755
54011.32,20.653996,0.048420627
54012.25,20.719725,0.06984059
54019.27,20.691345,0.047190644
54020.26,20.355064,0.17583615
54024.34,20.71462,0.07514099
54025.32,20.531738,0.061094206
54028.25,20.726238,0.057255063
54029.25,20.939775,0.06993124
54030.25,20.76212,0.04716163
54031.24,20.759157,0.050244287
54035.33,20.797821,0.12376542
54037.23,20.72399,0.051250637
54039.24,20.741495,0.059587903
54040.25,20.626156,0.074594416
54047.28,21.093262,0.20253676
54048.24,20.820362,0.05612568
54049.27,20.766874,0.10353588
54052.24,21.063559,0.17609127
54053.24,20.59984,0.05062252
54055.24,20.628653,0.05452699
54056.24,20.852478,0.08915151
54059.23,20.702969,0.10429125
54060.26,20.80356,0.057884134
54062.24,20.798944,0.10185527
54063.23,20.734434,0.060776882
54068.22,20.568295,0.09178181
54348.32,20.912954,0.07265494
54357.28,20.717646,0.050639357
54359.27,20.74811,0.11791384
54362.33,21.01049,0.09922577
54365.31,20.792707,0.056560505
54373.38,20.947456,0.13563047
54379.32,20.840237,0.052764315
54382.31,20.868225,0.08387799
54385.33,20.89739,0.06882298
54386.32,20.991056,0.07535632
54387.33,20.895914,0.077029124
54393.31,20.934862,0.06210491
54394.31,20.779947,0.087720565
54402.32,20.880905,0.08711394
54403.24,21.067562,0.12655331
54404.3,20.918507,0.06513713
54405.29,20.888891,0.06854174
54406.23,20.92682,0.05239908
54407.24,20.762346,0.12923132
54411.19,20.836971,0.04841684
54412.24,20.90213,0.11199284
54413.23,21.024937,0.09700396
54416.23,20.855461,0.048378818
54417.23,20.875715,0.06485421
54418.23,21.004776,0.062292196
54421.24,20.908266,0.08573362
54422.24,20.998766,0.08355673
54423.21,20.981369,0.08832895
54433.24,21.096758,0.1372246
