mjd,mag,magerr
52170.39,21.971157,0.08749627
52196.39,22.06334,0.1359046
52207.36,22.003105,0.097127885
52224.29,21.955816,0.08490136
52225.25,21.915846,0.097211435
52231.27,21.89223,0.0944263
52234.24,21.894531,0.083374575
52282.13,21.917469,0.12501301
52287.09,21.880533,0.10055595
52288.09,21.900639,0.11811003
52522.39,21.901411,0.08850097
52551.36,21.773497,0.11024654
52557.38,21.841393,0.09017061
52558.39,21.761248,0.069487505
52576.22,21.774977,0.07781539
52577.28,21.63021,0.08133716
52585.23,21.825407,0.11262413
52908.35,22.07632,0.10228346
52910.36,22.11161,0.1063228
52935.29,22.033463,0.11822534
52936.28,21.986288,0.0898418
52963.21,22.10066,0.090731926
52971.2,21.917974,0.09974952
53270.35,21.795893,0.096587636
53288.32,21.81919,0.07853862
53296.32,21.904366,0.18086627
53298.37,21.766558,0.11390031
53314.27,21.891876,0.10428228
53351.14,22.076359,0.11544988
53635.35,21.914991,0.17170161
53637.34,21.983583,0.14989395
53638.38,21.760748,0.08880192
53639.39,21.731716,0.0762611
53640.35,22.012405,0.11228818
53646.41,22.192131,0.11591884
53655.32,21.767458,0.10891759
53665.41,21.587849,0.12906845
53666.4,21.600233,0.1076695
53668.32,21.779522,0.11531314
53669.3,21.812502,0.089972585
53669.41,21.744572,0.1476867
53671.39,21.92284,0.1363751
53673.29,21.79188,0.074681155
53674.29,21.805813,0.12434918
53675.29,21.67577,0.097879276
53676.38,21.758535,0.09567601
53677.31,21.66385,0.073682964
53680.3,21.92312,0.08884075
53681.34,21.926659,0.08919917
53685.3,21.837313,0.14012644
53697.3,21.948692,0.11973077
53698.3,21.709154,0.07604567
53705.28,21.59371,0.0753667
53975.37,21.686222,0.07578809
53990.38,22.112778,0.25874415
53993.38,21.422745,0.06458944
53994.39,21.552559,0.073304884
53995.42,21.73265,0.073660396
53996.37,21.744465,0.11462659
54000.35,21.534998,0.09968551
54007.4,21.649117,0.13281478
54008.33,21.53642,0.06571117
54010.33,21.614305,0.059548784
54011.39,21.567196,0.051623117
54012.32,21.722458,0.15807062
54020.33,21.743301,0.14569414
54024.41,21.810606,0.18273969
54025.39,21.65014,0.11956349
54028.4,21.603104,0.10243075
54029.32,21.780676,0.10809443
54030.32,21.709982,0.076280676
54031.31,21.772188,0.0866885
54035.4,21.831543,0.19766355
54037.3,21.66451,0.067400254
54039.31,21.635666,0.10060044
54040.32,21.610819,0.13244353
54041.28,21.934437,0.15851802
54049.34,21.612593,0.15732324
54052.31,21.799416,0.15793659
54053.31,21.638922,0.08251489
54055.31,21.687387,0.1023134
54056.31,21.887407,0.13962777
54058.3,21.926739,0.12138025
54059.3,21.691164,0.14155293
54060.33,21.740576,0.11407238
54062.31,21.839102,0.091887824
54063.3,21.786812,0.09278732
54348.39,22.188839,0.14651054
54357.35,21.840605,0.06867902
54359.38,21.880346,0.14371641
54362.4,21.865839,0.07650089
54376.39,21.809864,0.10257571
54381.4,21.962908,0.1261752
54384.4,21.823378,0.09212539
54385.4,21.819609,0.08169334
54386.39,21.763636,0.10786715
54394.38,21.900963,0.16598494
54402.39,21.786497,0.20829739
54405.36,21.985197,0.1425771
54406.3,21.787169,0.0792207
54411.26,21.933529,0.07691812
54412.33,21.844255,0.13189153
54413.3,21.941652,0.12630692
54415.31,21.91081,0.088000506
54416.3,21.898588,0.08870492
54417.3,21.794844,0.08409807
54418.3,21.895666,0.10605627
54421.31,21.899464,0.12169984
54422.31,22.013355,0.13352926
54423.28,22.006205,0.16845618
