mjd,mag,magerr
52196.29,21.133581,0.09554816
52197.31,21.082726,0.094960816
52225.16,21.07364,0.078258805
52231.19,21.08588,0.08533321
52557.3,21.13401,0.12242635
52558.31,21.158825,0.096594
52577.2,20.996664,0.090315856
52578.2,21.079313,0.08149827
52586.2,21.018913,0.10639913
52908.27,21.25673,0.1198641
52910.28,21.487072,0.11644421
52930.17,21.416464,0.15393311
52931.21,21.277391,0.11701218
52934.21,21.28142,0.14950465
52935.21,21.384165,0.12515102
52936.2,21.40291,0.11591304
52959.15,21.414494,0.09982247
52962.13,21.34986,0.12324492
52963.13,21.517159,0.09725172
53270.27,21.362831,0.1101189
53272.32,21.925852,0.3135423
53286.28,21.684538,0.180889
53288.24,21.340332,0.10962721
53302.24,21.767897,0.43025744
53312.19,21.281916,0.16089004
53314.2,21.63329,0.1531256
53352.1,21.620695,0.12352541
53622.31,21.113016,0.10901628
53623.29,21.590363,0.11694048
53626.28,22.38867,0.3468122
53628.26,20.92212,0.2523818
53636.27,21.61381,0.31717083
53638.3,21.027645,0.11407196
53639.31,21.170572,0.1223157
53654.29,20.984224,0.0850023
53663.25,20.884289,0.13439435
53664.27,20.85517,0.20704974
53665.23,22.505747,0.5161406
53668.24,21.66342,0.12437876
53669.22,20.956438,0.07596509
53670.25,21.009129,0.09512568
53671.31,20.859758,0.1417183
53673.21,21.048492,0.09256189
53674.21,21.050909,0.10777526
53676.3,21.105589,0.12133706
53677.23,21.17024,0.08524181
53680.22,20.963392,0.09180515
53681.26,21.128996,0.095574304
53693.22,21.322845,0.2902593
53697.22,22.153744,0.24515593
53700.22,21.131548,0.11204323
53704.2,21.107384,0.0952085
53705.2,21.172415,0.10941232
53974.3,20.973282,0.11106969
53975.29,21.446726,0.18849935
53989.3,21.492197,0.2886404
53993.36,21.081388,0.13606909
53994.31,21.436079,0.12532845
53996.3,21.240599,0.21194996
53997.39,21.519684,0.12314653
53998.26,21.225246,0.09911533
54005.29,21.494514,0.10450324
54007.32,21.32621,0.12076671
54008.26,21.504251,0.16213837
54009.25,21.043552,0.10349256
54011.31,21.192198,0.14807712
54012.24,20.891571,0.20441025
54019.26,21.5498,0.20887458
54020.25,21.04146,0.17541829
54024.33,21.790556,0.26386544
54025.31,21.21908,0.21758646
54028.24,21.293718,0.1260942
54029.24,21.2062,0.10720956
54030.24,21.179724,0.11458433
54031.23,21.524666,0.13172455
54035.32,21.037783,0.18111825
54036.23,21.367052,0.14158139
54037.22,21.145168,0.13193128
54039.23,21.326689,0.18950841
54040.24,21.170355,0.24990037
54048.23,21.605347,0.22557071
54049.26,21.487158,0.4011042
54050.22,21.141817,0.24663179
54052.23,21.58168,0.23727599
54053.23,20.98748,0.10828584
54055.23,21.520597,0.17363898
54056.23,21.447474,0.27691865
54058.23,22.340246,0.3881175
54059.22,22.396206,0.6612035
54062.23,21.318083,0.21814859
54063.22,21.501257,0.1937471
54348.31,21.751043,0.21602488
54357.27,21.212788,0.12028597
54365.3,21.118921,0.15456921
54373.37,21.94327,0.70266825
54379.31,21.146057,0.13364857
54381.32,21.336327,0.11468724
54382.3,21.864168,0.24005345
54385.32,21.288225,0.13064957
54386.31,21.615984,0.17460047
54387.32,21.401882,0.17499013
54393.3,21.381989,0.12795886
54394.3,21.398201,0.29328883
54402.31,21.11241,0.39316598
54403.23,21.184286,0.26819423
54404.29,21.582537,0.27161342
54405.28,21.860298,0.31596753
54406.22,21.3631,0.11732689
54407.23,21.680204,0.35899982
54411.18,21.40476,0.13045138
54412.22,21.446756,0.1973988
54413.22,21.471512,0.16936667
54416.22,21.56299,0.12215764
54417.22,21.349829,0.13445592
54418.22,21.530472,0.1444824
54421.23,21.30895,0.15881771
54422.23,22.014301,0.38612643
54423.2,21.55578,0.326534
54433.23,21.96326,0.68559915
