mjd,mag,magerr
52196.37,20.810965,0.2405584
52197.37,20.6698,0.21304211
52207.34,21.093618,0.25180796
52225.22,20.911144,0.2032522
52234.22,20.61573,0.14761424
52552.37,20.674217,0.16512372
52557.36,20.656988,0.21759701
52558.37,21.232437,0.23425473
52577.26,21.008265,0.2326083
52578.26,20.818897,0.19428997
52586.26,22.540678,0.84537095
52908.34,21.502163,0.3634769
52910.35,21.020752,0.23327117
52931.28,21.010748,0.24260014
52934.27,21.43798,0.4244747
52935.27,20.942045,0.29364026
52936.26,20.664145,0.16373701
52963.2,20.917368,0.15335095
53270.33,20.88224,0.18056841
53272.38,20.873768,0.15776353
53286.35,20.666592,0.15532418
53288.3,20.55295,0.1918428
53296.3,21.152494,0.43926537
53298.35,21.393387,0.34849918
53302.3,21.44281,0.38766778
53314.26,20.807798,0.2505688
53626.34,21.342455,0.2559773
53628.32,20.871445,0.26581103
53635.33,20.950897,0.1820714
53637.32,20.30512,0.1651844
53638.37,20.670568,0.15932615
53639.37,20.836864,0.16239955
53640.33,20.883833,0.19715777
53641.37,21.072876,0.19241147
53654.35,21.667168,0.48366347
53655.3,20.911625,0.28953427
53663.31,20.443691,0.14212303
53666.38,21.143831,0.25166276
53668.3,21.468966,0.45334703
53669.29,21.082565,0.28342122
53671.37,20.92433,0.30004945
53673.27,21.372168,0.3408306
53674.27,21.172731,0.44651607
53675.27,21.17742,0.31357417
53676.36,22.104485,0.4658554
53677.29,21.156721,0.19638631
53680.28,20.820898,0.17765555
53681.32,21.217178,0.25653702
53685.28,21.224627,0.31237572
53686.28,20.734291,0.25785232
53693.28,21.480816,0.3752843
53697.28,21.365904,0.3476042
53698.28,21.168402,0.30921555
53705.27,20.994726,0.21955869
53975.35,21.168007,0.3034966
53989.36,21.331636,0.3293306
53994.37,21.195063,0.26782778
53995.38,20.7924,0.19411686
54006.28,20.766068,0.16726074
54008.32,21.146637,0.2801601
54009.31,21.407585,0.34733984
54010.31,21.34354,0.2457684
54011.37,21.555464,0.26946017
54012.3,21.054485,0.2801085
54020.31,21.503334,0.46991393
54025.37,20.6315,0.33181068
54028.38,21.076694,0.36904004
54029.3,20.899004,0.31927538
54030.3,21.10574,0.23483483
54031.29,20.775806,0.21378574
54035.38,20.496246,0.29983145
54036.3,21.06876,0.34713548
54037.28,21.363174,0.25886664
54039.29,20.95721,0.2634385
54040.3,22.328259,0.7316097
54048.29,21.206856,0.20683555
54049.33,21.363485,0.5276666
54053.29,21.535011,0.41593277
54055.29,21.55452,0.42230156
54056.29,21.625845,0.6080348
54058.29,20.89193,0.3077683
54060.31,20.86999,0.21563978
54068.27,21.394352,0.4975165
54348.37,20.80943,0.24560188
54357.33,21.088232,0.1783217
54365.36,20.97717,0.2033528
54376.37,20.900635,0.26604116
54381.38,20.790018,0.17879243
54382.36,20.614882,0.34671512
54384.39,21.20726,0.2597798
54385.38,20.800966,0.17545834
54386.37,20.68889,0.29695302
54392.37,21.196787,0.3479315
54393.38,20.770346,0.26130158
54394.36,20.951197,0.32137662
54404.35,21.638725,0.5646522
54405.35,21.421652,0.39071923
54406.28,21.106077,0.19832325
54412.31,21.271057,0.50632703
54416.28,21.125753,0.22878262
54421.29,21.274387,0.40006
54432.28,21.164488,0.8728469
54433.29,21.587936,0.753108
